id,code,name,category_lvl1,category_lvl2,nature_analytique,entity,visibility_scope,profile_description,billability_default,project_required,expected_deliverable
activity_iats_rnd_01,IATS-RND-01,"R&D, POC et prototypage",IAT Solutions,Innovation,innovation,Infinity Africa Technologies,department,"IAT Solutions – Développeurs, UX/UI, QA, DevOps, Architecture",selon_projet,oui,POC / prototype
activity_iats_rnd_02,IATS-RND-02,Veille technologique,IAT Solutions,Innovation,formation,Infinity Africa Technologies,department,"IAT Solutions – Développeurs, UX/UI, QA, DevOps, Architecture",non_facturable,recommande,Note de veille
activity_iatc_diag_01,IATC-DIAG-01,Diagnostic SI et processus,IAT Consulting,Diagnostic,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Rapport diagnostic
activity_iatc_diag_02,IATC-DIAG-02,Ateliers de cadrage,IAT Consulting,Diagnostic,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Compte rendu / décisions
activity_iatc_diag_03,IATC-DIAG-03,Analyse des besoins et exigences,IAT Consulting,Diagnostic,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Expression de besoins
activity_iatc_str_01,IATC-STR-01,Stratégie digitale et roadmap,IAT Consulting,Stratégie,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Roadmap
activity_iatc_str_02,IATC-STR-02,Business case et ROI,IAT Consulting,Stratégie,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Business case
activity_iatc_arch_01,IATC-ARCH-01,Architecture cible,IAT Consulting,Architecture,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Dossier d'architecture
activity_iatc_arch_02,IATC-ARCH-02,Choix de solution ou fournisseur,IAT Consulting,Architecture,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Matrice de choix
activity_iatc_imp_01,IATC-IMP-01,Paramétrage et configuration,IAT Consulting,Implémentation,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Configuration validée
activity_iatc_imp_02,IATC-IMP-02,Développement spécifique,IAT Consulting,Implémentation,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Livrable logiciel
activity_iatc_imp_03,IATC-IMP-03,Intégration de systèmes,IAT Consulting,Implémentation,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Intégration fonctionnelle
activity_iatc_imp_04,IATC-IMP-04,Migration et nettoyage de données,IAT Consulting,Implémentation,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Données migrées
activity_iatc_imp_05,IATC-IMP-05,Automatisation et IA métiers,IAT Consulting,Implémentation,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Workflow / cas d'usage
activity_iatc_test_01,IATC-TEST-01,Plan et scénarios de tests,IAT Consulting,Tests,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Plan de tests
activity_iatc_test_02,IATC-TEST-02,Recette et UAT,IAT Consulting,Tests,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,PV de recette
activity_iatc_chg_01,IATC-CHG-01,Change management,IAT Consulting,Conduite du changement,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Plan de changement
activity_iatc_chg_02,IATC-CHG-02,Formation des utilisateurs,IAT Consulting,Conduite du changement,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Support / session
activity_iatc_pm_01,IATC-PM-01,Planification et pilotage de mission,IAT Consulting,Pilotage,pilotage_projet,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Plan / reporting
activity_iatc_pm_02,IATC-PM-02,Gestion des risques et de la qualité,IAT Consulting,Pilotage,pilotage_projet,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Registre / plan qualité
activity_iatc_pm_03,IATC-PM-03,Comités projet et client,IAT Consulting,Pilotage,pilotage_projet,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Support / compte rendu
activity_iatc_sec_01,IATC-SEC-01,Audit et conseil cybersécurité,IAT Consulting,Expertise,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Rapport d'audit
activity_iatc_cloud_01,IATC-CLOUD-01,Conseil cloud,IAT Consulting,Expertise,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Recommandation / architecture
activity_iatc_data_01,IATC-DATA-01,"Data, BI et Analytics",IAT Consulting,Expertise,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Modèle / dashboard
activity_iatc_sup_01,IATC-SUP-01,Support et hypercare,IAT Consulting,Support,support,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Ticket / rapport
activity_iatc_doc_01,IATC-DOC-01,Documentation et livrables de mission,IAT Consulting,Livrables,production,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",selon_mission,oui,Livrable client
activity_iatc_int_01,IATC-INT-01,Transformation digitale interne IAG,IAT Consulting,Interne,projet_interne,Infinity Africa Technologies,department,"IAT Consulting – Consultants IT, chefs de projet, architectes",interne,oui,Livrable interne
activity_iac_org_01,IAC-ORG-01,Identification d'opportunité,Banque d'affaires,Origination,developpement_commercial,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,non_facturable,oui,Fiche opportunité
activity_iac_org_02,IAC-ORG-02,Qualification du mandat,Banque d'affaires,Origination,developpement_commercial,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,non_facturable,oui,Note de qualification
activity_iac_pit_01,IAC-PIT-01,Pitchbook et proposition de mandat,Banque d'affaires,Origination,developpement_commercial,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,non_facturable,oui,Pitch / proposition
activity_iac_onb_01,IAC-ONB-01,"KYC, onboarding et mise en place du mandat",Banque d'affaires,Exécution,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Dossier complet / mandat
activity_iac_dd_01,IAC-DD-01,Collecte et analyse de la data room,Banque d'affaires,Due diligence,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Checklist / data room
activity_iac_dd_02,IAC-DD-02,Due diligence financière,Banque d'affaires,Due diligence,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Rapport ou note
activity_iac_dd_03,IAC-DD-03,Due diligence marché et sectorielle,Banque d'affaires,Due diligence,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Étude sectorielle
activity_iac_ana_01,IAC-ANA-01,Analyse financière,Banque d'affaires,Analyse,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Analyse financière
activity_iac_ana_02,IAC-ANA-02,Étude de faisabilité,Banque d'affaires,Analyse,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Étude de faisabilité
activity_iac_mod_01,IAC-MOD-01,Modélisation financière,Banque d'affaires,Modélisation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Modèle financier
activity_iac_val_01,IAC-VAL-01,Valorisation d'entreprise ou d'actifs,Banque d'affaires,Valorisation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Rapport de valorisation
activity_iac_str_01,IAC-STR-01,Structuration de dette,Banque d'affaires,Structuration,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Termes financiers
activity_iac_str_02,IAC-STR-02,Structuration equity,Banque d'affaires,Structuration,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Structure proposée
activity_iac_str_03,IAC-STR-03,Financement de projet,Banque d'affaires,Structuration,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Structure / modèle
activity_iac_str_04,IAC-STR-04,"Finance islamique, verte ou innovante",Banque d'affaires,Structuration,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Note de structuration
activity_iac_ma_01,IAC-MA-01,Stratégie M&A et ciblage,Banque d'affaires,M&A,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Long list / stratégie
activity_iac_ma_02,IAC-MA-02,Exécution M&A,Banque d'affaires,M&A,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Livrables transaction
activity_iac_doc_01,IAC-DOC-01,"Teaser, CIM et mémorandum d'information",Banque d'affaires,Documentation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Document transactionnel
activity_iac_doc_02,IAC-DOC-02,Term sheet et termes financiers,Banque d'affaires,Documentation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Term sheet
activity_iac_doc_03,IAC-DOC-03,"Mémos client, comité ou décision",Banque d'affaires,Documentation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Mémo
activity_iac_inv_01,IAC-INV-01,Mapping investisseurs et prêteurs,Banque d'affaires,Mobilisation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Liste ciblée
activity_iac_inv_02,IAC-INV-02,Approche investisseurs et prêteurs,Banque d'affaires,Mobilisation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Journal de contacts
activity_iac_inv_03,IAC-INV-03,Q&A et data room investisseurs,Banque d'affaires,Mobilisation,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Q&A / data room
activity_iac_neg_01,IAC-NEG-01,Négociation de la transaction,Banque d'affaires,Exécution,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Termes négociés
activity_iac_exe_01,IAC-EXE-01,Coordination de transaction,Banque d'affaires,Exécution,pilotage_projet,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Transaction tracker
activity_iac_exe_02,IAC-EXE-02,Closing et décaissement,Banque d'affaires,Exécution,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Closing memo
activity_iac_mon_01,IAC-MON-01,Suivi post-transaction,Banque d'affaires,Suivi,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Rapport de suivi
activity_iac_res_01,IAC-RES-01,Recherche marché et réglementaire,Banque d'affaires,Recherche,production,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Note de recherche
activity_iac_rpt_01,IAC-RPT-01,Reporting mandat et client,Banque d'affaires,Reporting,pilotage_projet,Infinity Africa Capital,department,Infinity Africa Capital – Banque d'affaires,selon_mandat,oui,Rapport d'avancement
activity_iaf_org_01,IAF-ORG-01,Prospection PME et partenaires,Financement PME,Origination,developpement_commercial,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,non_facturable,oui,Fiche prospect
activity_iaf_scr_01,IAF-SCR-01,Pré-screening et éligibilité,Financement PME,Instruction,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Fiche de screening
activity_iaf_app_01,IAF-APP-01,Collecte du dossier et KYC,Financement PME,Instruction,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Dossier complet
activity_iaf_ana_01,IAF-ANA-01,Analyse financière PME,Financement PME,Analyse crédit,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Analyse financière
activity_iaf_ana_02,IAF-ANA-02,Analyse des flux et de la trésorerie,Financement PME,Analyse crédit,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Analyse de flux
activity_iaf_ana_03,IAF-ANA-03,Analyse du business et du management,Financement PME,Analyse crédit,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Note qualitative
activity_iaf_rsk_01,IAF-RSK-01,Scoring et risque de crédit,Financement PME,Risque,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Score / matrice risques
activity_iaf_dd_01,IAF-DD-01,Visite et due diligence terrain,Financement PME,Risque,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Rapport de visite
activity_iaf_mod_01,IAF-MOD-01,Modèle de remboursement et scénarios,Financement PME,Structuration,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Modèle de crédit
activity_iaf_str_01,IAF-STR-01,Structuration du financement,Financement PME,Structuration,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Termes proposés
activity_iaf_mem_01,IAF-MEM-01,Note de crédit,Financement PME,Décision,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Note de crédit
activity_iaf_com_01,IAF-COM-01,Comité de crédit,Financement PME,Décision,gouvernance,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,PV / décision
activity_iaf_doc_01,IAF-DOC-01,Documentation et conditions préalables,Financement PME,Mise en place,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Checklist complète
activity_iaf_dis_01,IAF-DIS-01,Décaissement,Financement PME,Mise en place,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Avis de décaissement
activity_iaf_mon_01,IAF-MON-01,Suivi portefeuille et covenants,Financement PME,Portefeuille,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Fiche de suivi
activity_iaf_mon_02,IAF-MON-02,Revue financière périodique,Financement PME,Portefeuille,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Rapport de revue
activity_iaf_col_01,IAF-COL-01,Recouvrement,Financement PME,Portefeuille,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Journal de recouvrement
activity_iaf_res_01,IAF-RES-01,Restructuration et gestion des impayés,Financement PME,Portefeuille,production,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,selon_dossier,oui,Plan de restructuration
activity_iaf_prd_01,IAF-PRD-01,Développement de produits de financement,Financement PME,Développement,amelioration_interne,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,non_facturable,recommande,Fiche produit
activity_iaf_fun_01,IAF-FUN-01,Relations bailleurs et financeurs,Financement PME,Financement,developpement_commercial,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,non_facturable,oui,Note / accord
activity_iaf_rpt_01,IAF-RPT-01,Reporting portefeuille,Financement PME,Reporting,pilotage,Infinity Africa Finance,department,Infinity Africa Finance – Financement PME,non_facturable,oui,Tableau de bord
activity_iav_src_01,IAV-SRC-01,Deal sourcing,Venture Capital,Deal flow,developpement_commercial,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Fiche opportunité
activity_iav_scr_01,IAV-SCR-01,Screening initial,Venture Capital,Deal flow,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Fiche de screening
activity_iav_mtg_01,IAV-MTG-01,Entretien fondateur,Venture Capital,Deal flow,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Compte rendu
activity_iav_ana_01,IAV-ANA-01,Analyse marché,Venture Capital,Analyse,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Analyse marché
activity_iav_ana_02,IAV-ANA-02,Analyse produit et technologie,Venture Capital,Analyse,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Note produit/tech
activity_iav_ana_03,IAV-ANA-03,Analyse équipe et gouvernance,Venture Capital,Analyse,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Note équipe
activity_iav_ana_04,IAV-ANA-04,Traction et unit economics,Venture Capital,Analyse,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Analyse KPI
activity_iav_dd_01,IAV-DD-01,Due diligence financière,Venture Capital,Due diligence,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Rapport DD
activity_iav_dd_02,IAV-DD-02,Due diligence juridique,Venture Capital,Due diligence,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Rapport DD
activity_iav_dd_03,IAV-DD-03,Due diligence technologique,Venture Capital,Due diligence,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Rapport tech DD
activity_iav_mod_01,IAV-MOD-01,Modélisation et valorisation,Venture Capital,Investissement,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Modèle / valorisation
activity_iav_cap_01,IAV-CAP-01,Cap table et dilution,Venture Capital,Investissement,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Cap table
activity_iav_mem_01,IAV-MEM-01,Investment memo,Venture Capital,Investissement,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Mémo d'investissement
activity_iav_ic_01,IAV-IC-01,Comité d'investissement,Venture Capital,Investissement,gouvernance,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,PV / décision
activity_iav_neg_01,IAV-NEG-01,Négociation du term sheet,Venture Capital,Investissement,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Term sheet
activity_iav_cls_01,IAV-CLS-01,Closing et documentation,Venture Capital,Investissement,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_dossier,oui,Dossier closing
activity_iav_por_01,IAV-POR-01,Suivi de portefeuille,Venture Capital,Portefeuille,pilotage,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Dashboard portefeuille
activity_iav_por_02,IAV-POR-02,Board et gouvernance startup,Venture Capital,Portefeuille,gouvernance,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Board pack / CR
activity_iav_sup_01,IAV-SUP-01,"Stratégie, produit et go-to-market",Venture Capital,Accompagnement,accompagnement_portefeuille,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Plan d'action
activity_iav_sup_02,IAV-SUP-02,Finance et levée de fonds,Venture Capital,Accompagnement,accompagnement_portefeuille,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Modèle / data room
activity_iav_sup_03,IAV-SUP-03,"Opérations, talents et organisation",Venture Capital,Accompagnement,accompagnement_portefeuille,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Plan d'organisation
activity_iav_fnd_01,IAV-FND-01,Fundraising du fonds et relations LP,Venture Capital,Fonds,developpement_commercial,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,CRM LP / data room
activity_iav_rep_01,IAV-REP-01,Reporting fonds et portefeuille,Venture Capital,Fonds,pilotage,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Rapport LP
activity_iav_ecos_01,IAV-ECOS-01,Partenariats et écosystème,Venture Capital,Écosystème,developpement_commercial,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,non_facturable,oui,Accord / CR
activity_iav_exit_01,IAV-EXIT-01,Stratégie et transaction de sortie,Venture Capital,Sortie,production,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,selon_transaction,oui,Plan / transaction
activity_iav_vb_01,IAV-VB-01,Idéation et validation de venture,Venture Capital,Venture building,projet_interne,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,interne,oui,Note de validation
activity_iav_vb_02,IAV-VB-02,Incubation et construction de venture,Venture Capital,Venture building,projet_interne,Infinity Africa Ventures,department,Infinity Africa Ventures – Venture Capital et Venture Building,interne,oui,MVP / jalons
activity_iap_org_01,IAP-ORG-01,Prospection de mandats et projets,Immobilier,Origination,developpement_commercial,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",non_facturable,oui,Fiche opportunité
activity_iap_res_01,IAP-RES-01,Étude de marché immobilier,Immobilier,Études,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Étude de marché
activity_iap_fea_01,IAP-FEA-01,Étude de faisabilité,Immobilier,Études,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Étude de faisabilité
activity_iap_dd_01,IAP-DD-01,Due diligence foncière et technique,Immobilier,Études,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Rapport DD
activity_iap_fin_01,IAP-FIN-01,Modélisation financière immobilière,Immobilier,Structuration,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Modèle financier
activity_iap_str_01,IAP-STR-01,Structuration du projet et des partenariats,Immobilier,Structuration,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Schéma de structuration
activity_iap_fund_01,IAP-FUND-01,Levée de fonds immobilière,Immobilier,Structuration,developpement_commercial,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_mandat,oui,Data room / financement
activity_iap_dev_01,IAP-DEV-01,Conception et développement du projet,Immobilier,Développement,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Dossier projet
activity_iap_pm_01,IAP-PM-01,Planification et pilotage du projet,Immobilier,Pilotage,pilotage_projet,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Planning / reporting
activity_iap_site_01,IAP-SITE-01,Suivi de chantier,Immobilier,Réalisation,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Rapport chantier
activity_iap_cost_01,IAP-COST-01,Budget et contrôle des coûts,Immobilier,Réalisation,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Cost report
activity_iap_sal_01,IAP-SAL-01,Vente et location,Immobilier,Commercialisation,developpement_commercial,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_mandat,oui,CRM / contrat
activity_iap_mgt_01,IAP-MGT-01,Gestion locative et d'actifs,Immobilier,Gestion d'actifs,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_mandat,oui,Rapport de gestion
activity_iap_rep_01,IAP-REP-01,Reporting client et projet,Immobilier,Reporting,pilotage_projet,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Rapport
activity_iap_reg_01,IAP-REG-01,Autorisations et conformité,Immobilier,Réglementation,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Autorisation / dossier
activity_iap_sus_01,IAP-SUS-01,"Durabilité, ESG et certifications",Immobilier,Durabilité,production,Infinity Africa Properties,department,"Infinity Africa Properties – Conseil, développement et gestion immobilière",selon_projet,oui,Plan ESG / certification
activity_ias_org_01,IAS-ORG-01,Origination émetteurs et investisseurs,Marchés financiers,Origination,developpement_commercial,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,non_facturable,oui,Fiche opportunité
activity_ias_ana_01,IAS-ANA-01,Analyse de titres et d'émetteurs,Marchés financiers,Analyse,production,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_operation,oui,Note d'analyse
activity_ias_str_01,IAS-STR-01,Structuration d'émission ou de placement,Marchés financiers,Structuration,production,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_operation,oui,Structure proposée
activity_ias_plm_01,IAS-PLM-01,Placement auprès des investisseurs,Marchés financiers,Placement,production,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_operation,oui,Book / journal investisseurs
activity_ias_ops_01,IAS-OPS-01,Exécution et suivi des opérations,Marchés financiers,Opérations,production,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_operation,oui,Dossier opération
activity_ias_kyc_01,IAS-KYC-01,"KYC, AML et conformité opérationnelle",Marchés financiers,Conformité,conformite,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_operation,oui,Dossier KYC
activity_ias_reg_01,IAS-REG-01,"Régulateur, licences et reporting",Marchés financiers,Conformité,conformite,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,non_facturable,oui,Dossier / rapport
activity_ias_inv_01,IAS-INV-01,Relation investisseurs,Marchés financiers,Relation client,developpement_commercial,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_contrat,oui,Plan de compte
activity_ias_res_01,IAS-RES-01,Recherche de marché,Marchés financiers,Recherche,production,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_contrat,oui,Note de recherche
activity_ias_rpt_01,IAS-RPT-01,Reporting client et opération,Marchés financiers,Reporting,pilotage,Infinity Africa Securities,department,Infinity Africa Securities – Marchés financiers,selon_contrat,oui,Rapport
